Topic,Count,Name,Representation,Representative_Docs
35,91,35_entityunifientityasync_async_entity_entities,"['entityunifientityasync', 'async', 'entity', 'entities', 'entityget', 'entityargument', 'callback', 'entitiesgsmsignalsensorhass', 'instantiates', 'addition']","['Please only call async add entities once', 'async add entities should be call only once.', 'Can we do this in one async add entities call?']"
36,91,36_typed_typing_typings_type,"['typed', 'typing', 'typings', 'type', 'complete', 'completed', 'uncomplete', 'typingcallable', 'enter', 'write']","['typing? Done', 'Typing Done', 'typing done']"
37,90,37_necessary_shouldnt_required_needed,"['necessary', 'shouldnt', 'required', 'needed', 'use', 'need', 'extra', 'reminder', 'question', 'modify']","['Why is this needed?', 'should not be needed', 'This should not be needed?']"
38,90,38_import_importing_imports_imported,"['import', 'importing', 'imports', 'imported', 'exported', 'unpack', 'package', 'unpacking', 'files', 'need']","['There is nothing to import.', 'and please import those', 'Please import this one']"
39,89,39_thanks_awesome_thx_nice,"['thanks', 'awesome', 'thx', 'nice', 'gotcha', 'great', 'nicer', 'hint', 'ah', 'forgot']","['Good call. Thanks', 'Good catch thanks', 'Ah, nice. Thanks.']"
40,88,40_exceptions_exception_catch_catching,"['exceptions', 'exception', 'catch', 'catching', 'avoid', 'caught', 'allow', 'fail', 'smtplibsmtpresponseexception', 'roborockexception']","['Can we catch more specific exceptions? We only allow the config flow to catch bare Exceptions Modified', ""You're not allowed to catch broad exceptions here"", 'Are there no specific exceptions in the module that you can catch? Broad exceptions like this are not really nice.']"
41,88,41_integrationspecific_integrationdimmer_integrationswitch_integration,"['integrationspecific', 'integrationdimmer', 'integrationswitch', 'integration', 'integrations', 'integral', 'resolved', 'entry', 'create', 'adapted']","['We normally patch the integration setup function on all create entry results to avoid setting up the whole integration.', 'Please patch the integration setup function on all create entry results to avoid setting up the whole integration.', 'Please patch the integration setup function on all create entry results to avoid setting up the whole integration.']"
42,85,42_enums_enum_enumname_enumstrenum,"['enums', 'enum', 'enumname', 'enumstrenum', 'enumerations', 'enumerator', 'intenum', 'enumeration', 'homeassistantbackportsenum', 'ordinal']","['Could you do a PR to to add this as an enum? Done:', 'Please use the enum value here', 'Should this be an enum?']"
43,84,43_requiredkeysmixin_keys_keys1_remove,"['requiredkeysmixin', 'keys', 'keys1', 'remove', 'key', 'blank', 'keyboard', 'lenkeys', 'unused', 'keystroke']","['please remove any empty keys', 'Remove empty keys', 'Remove empty keys Done.']"
44,81,44_titles_title_renaming_capitalization,"['titles', 'title', 'renaming', 'capitalization', 'manifest', 'manifestjson', 'translated', 'branddomain', 'description', 'logo']","['Remove the title, just keep it the default.', 'The name from the manifest is automatically used as title, only set the title in strings.json if it should be translated or if it is different from the manifest.', 'Do we need a title?']"
45,79,45_revert_reverted_reverting_changed,"['revert', 'reverted', 'reverting', 'changed', 'change', 'fixed', 'fix', 'fixing', 'changes', 'bug']","['Revert this change', 'Please revert this change.', 'Please revert this change.']"
46,78,46_completed_thanks_thank_doable,"['completed', 'thanks', 'thank', 'doable', 'thx', 'check', 'want', 'sorry', 'cached', 'comment']","['Thanks, done!', 'Thanks! Done', 'Thanks! Done']"
47,78,47_file_filenotfounderror_remove_deleting,"['file', 'filenotfounderror', 'remove', 'deleting', 'files', 'delete', 'removed', 'directory', 'script', 'unsupported']","['Remove this file.', 'move it to its own file', 'This file should not be here. Please remove this file. Done']"
48,78,48_executor_execution_executed_trystatement,"['executor', 'execution', 'executed', 'trystatement', 'functoolspartial', 'selfhassasync', 'async', 'queue', 'asyncioevent', 'await']","['This needs to be run in the executor', 'If you use the async method then there is no need for the executor job.', 'why the executor job?']"
49,75,49_deviceserial_entity_entities_deviceinfo,"['deviceserial', 'entity', 'entities', 'deviceinfo', 'devicedevice', 'entitynaming', 'devices', 'device', 'naming', 'productname']","['device info can be set in the constructor with attr device info . Then you can set attr name None and the entity will follow the device name', 'Could we calculate the prefix by only using the device point.category ? Eg by looking for a separator in the string or taking a certain number of characters from the beginning etc? I\'d like to avoid having a tuple of known prefixes to match against and needing to maintain that tuple. This is a difficult one... There is no simple way to categorize the models. The product,name appears on different levels in the object hierarchy and the device point.category is not an exact match to the product.name. My interpretation of the data model in the API: 1. An account can containg many systems. 2. A system is a heat-pump appliance. 3. A system can contain one or more devices 4. A device contains many device-point. 5. There is no official documentation from the manufacturer on the actual data that each model reports. Example from my F730: One system with one device with some 45 device points. product.name in system object: ""F730 CU 3x400V"" a single device with product.name: ""F730 CU 3x400V"" category in all device points: ""NIBEF F730 CU 3x400V"" Example from pajzo: product.name: unknown to me category in device points: Mostly ""NIBE VVM S320 E EM 3x400V DK"" but mixed with ""Varmepumpe 1"" I am out of ideas (for a short moment - I hope). I am a bit sorry that the search for a perfect solution is blocking other areas of improvements. It is possible to create generic binary sensors, generic switches and other suitable entities. It is when it comes to fine-tuning device classes, icons, display precision etc that we are stuck. The current solution will work for Fxxx -series appliances. All other models will show up with generic sensors as in the original release. I suggest that we merge this version. We can then revisit the challenge of classifying appliance models when we have collected more diagnostic data. I agree with you astrandb, i think it\'s fine to map based on parameter id, and fallback on paramter unit. Then we over time can improve by adding more and more parameter id mappings. We now have confirmation thay S series have a different numbering scheme which may overlap. So we must discern them. We also now see that S series prefix by ""NIBE"" and F series by ""NIBEF"". That is enough. Just use partition on the category and grab first words. Use a double level dict. For lookup. Also avoid putting unit lookups and paramater id lookups in same dict. Thank you elupus for you constructive ideas. They are implemented now.', 'Since the device you set as device info has the same name as this entity. This will name the entity to the device.']"
50,75,50_mock_mockconfigentry_mocks_mocklifxcommand,"['mock', 'mockconfigentry', 'mocks', 'mocklifxcommand', 'mocksetup', 'mocked', 'mocking', 'mockurlimageentity', 'mockhaclientwebsocket', 'unittestmock']","['No need for this. You can just check the mock entry . It will use the same object', 'It would be good to type the mock as well', 'we need mock setup entry in the test']"
51,75,51_pytestmarkparametrize_pytest_pytestmark_pytestraises,"['pytestmarkparametrize', 'pytest', 'pytestmark', 'pytestraises', 'tests', 'unittest', 'test', 'mock', 'assert', 'tested']","[""We don't write tests like these anymore. Write tests like done for the config flow. For this one, what I understood is that the test should use the pytest format and not the older unittest like classes? correct. We only write function-based tests. Use pytest.fixtures if you want to run code at startup shutdown of tests."", 'Instead of running tests like this, you can use pytest.mark.parametrize and then you can create 1 test and have the data as a parameter.', 'The two tests test switch on and test switch off can also use pytest.mark.parametrize as below.']"
52,73,52_variable_variables_underscore_underscores,"['variable', 'variables', 'underscore', 'underscores', 'var', 'assign', 'code', 'lowercase', 'assigns', 'usecase']","['Where are the code to use this new Variable ?', 'Please separate words with underscore in parameter and variable names. friendly name', 'Please separate words with underscore in variable names etc.']"
53,73,53_type_types_hints_hinting,"['type', 'types', 'hints', 'hinting', 'typechecker', 'typing', 'supertype', 'addentitiescallback', 'generics', 'generic']","['Please add type hints', 'Add type hints', 'Please add type hints Done']"
54,72,54_entityservices_hassdatadomainservices_services_entityserviceresponse,"['entityservices', 'hassdatadomainservices', 'services', 'entityserviceresponse', 'service', 'serviceintenthandler', 'register', 'registering', 'registration', 'entity']","[""Shouldn't we keep this within the domain of this integration? hass.data[DOMAIN][SERVICES] Do we really need to check again registering this double? Like would it matter? This is done like in the deConz integration. Both are quite similar in regards to supporting multiple instances and having services. Right now the integrations reside directly under hass data unifi. I would need to add another layer for every place retrieving an instance of the integration if we want to move services to hass data unifi services. If there is no control the first integration to be removed would remove the services as well? Maybe I don't understand your second question? The unload of services is not done by UNIFI SERVICES , it uses: The point is, that UNIFI SERVICES and its deduplication isn't needed? Aah ok, I should verify UNIFI DOMAIN being empty during async setup entry and remove anything with UNIFI SERVICES instead right? That would have the same effect. Additionally, I don't think (not 100 sure, MartinHjelmare can probably confirm), registering a service twice isn't a problem doesn't have side effects. So I think we don't need the logic that prevents them from registering twice. It will send out multiple events L1351 and that's about it, I'm just trying to keep stuff tidy :) Hmmm right :) I guess we send out a duplicate event quite a bit in general (in case of multiple config entries). I wonder if that is something we should solve on a different level Anyways, it's fine I think the UNIFI SERVICES can be refactored out while still achieving the same and some docs and it should be good to go. Can we merge this as is and I will do a follow up PR to clean this up tonight? Would be nice to not miss the beta Added documentation PR I think that is a good deal If we want to avoid doing the work of registering the service again we can check if the service is registered already with hass.services.has service . Resolved in 56834"", 'Please use our entity service helper to register the services instead. entity-services', 'Only register the services if no config entry has registered them yet. We have hass.services.has service .']"
55,72,55_commentedout_remove_code_commented,"['commentedout', 'remove', 'code', 'commented', 'removes', 'removed', 'tweak', 'omitted', 'comment', 'comments']","['Please remove commented code', 'Please remove code that is commented out.', 'Please remove any commented out code Done']"
56,72,56_platforms_platform_platformnotready_platformpropertiestobeimplementedbyderivingplatformclasses,"['platforms', 'platform', 'platformnotready', 'platformpropertiestobeimplementedbyderivingplatformclasses', 'pr', 'os', 'prs', 'rpi', 'rpi2', 'rpi0']","['This PR has multiple platforms, please limit it to a single platform', 'This PR has multiple platforms, please limit it to a single platform.', 'This PR still has multiple platforms. Please limit the PR to a single platform.']"
57,69,57_library_patchobject_patch_patched,"['library', 'patchobject', 'patch', 'patched', 'patches', 'lib', 'patchtessie', 'fixed', 'package', 'instead']","['Patch the library instead of our code in the config flow.', 'We should patch the library and not our own code.', 'Patch the library instead.']"
58,69,58_notifyentity_notifications_notification_notify,"['notifyentity', 'notifications', 'notification', 'notify', 'platformnotify', 'service', 'message', 'services', 'warning', 'subscription']","[""We don't allow overriding a builtin service. That would be confusing to users. If there's no message to send the integration shouldn't implement a notify platform. The other PR that implements a custom service is ok. But the service is not overriden Instead an additional service with a custom service schema is registered alongside the builtin service from the notify platform. This is currently required, as the notify entity service does not allow extra data keys like the legacy notify platform (required for item field). I also changed notification type to message, as that is basically the message that is sent, just that only 4 predefined keywords are allowed. In contrast to other notification services, bring does not have a free text input for the message. The custom service schema does therefore define the message field as radio input. I know the new notification entity component is still a work in progress, joostlek asked me if i could implement this feature with it. Maybe this can serve as some kind of use case for the further development jbouwh"", ""Can be removed Ok, so let me try to explain what's going on. I am not an expert of the hass internals at all and unfortunately the documentation seems kind of poor when it comes to describing how all the config setup works internally. Here's what I understand: There's an old and a new way of setting up components and entries. The modern way to set up integrations for platforms is to forward the entry setup to the corresponding platforms like this: However, the notify integration seems to be the only one that is stuck with the legacy way of setting up things. This means that the above call will fail with AttributeError: module 'homeassistant.components.notify' has no attribute 'async setup entry' for notify. This is the reason why for example the slack integration separates the behavior for notify like this: L72 Note the if platform ! Platform.NOTIFY and the async load platform call above. This seems to be a common way to setup notify platforms, here they even have an explanation: L137 no entry support for notify platform yet, have to use discovery to load platform. Seems everyone else does the same. You can also check the discord integration or others. This is why I use discovery.async load platform . Now let's come back to how this is related to keeping def async setup : In the above method which you suggested to remove, I store the hass config in hass.data[DATA HASS CONFIG] . Later on, this variable is needed in the call to discovery.async load platform , see the requirement here: L154 Hence, it seems I cannot remove async setup . Let me know if I'm missing something here. Remember when I said that a notify integration to config flow isn't that different? I take that back. This is awful (not because of you btw, you're putting in great effort, I just don't like how it differs from the rest) Like I've seen some pass by but I did not know all these pieces were needed. So I guess I'm also still learning here. Can we mark this resolved? I'm on mobile right now, I'll drive into this tomorrow"", 'I dont think its nice to notify every entry, why not a service per notify']"
59,68,59_l1314l1324_l2030l2041_l135l158_l371,"['l1314l1324', 'l2030l2041', 'l135l158', 'l371', 'l1376l1380', 'l37l39', 'l372', 'l146', 'l463l472', 'l149l155']","['We have a helper now to do this: L2030-L2041', 'Can we use this helper? L1376-L1380 Done.', 'We can use this helper: L1314-L1324']"
60,68,60_logger_logginggetlogger_logging_loggers,"['logger', 'logginggetlogger', 'logging', 'loggers', 'log', 'logs', 'caplog', 'caplogfixture', 'debug', 'pipdeptree']","['This logger does not exist', 'Why are you passing in a logger if you made one on line 24? If you like, you can also create an integration level logger with LOGGER logging.getLogger( package ) in const.py', 'Where is the ""logger"" ?']"
61,66,61_websocket_websocketpy_websockets_api,"['websocket', 'websocketpy', 'websockets', 'api', 'async', 'client', 'connection', 'callback', 'notification', 'signals']","['This is just testing the websocket api. Right. The function itself is tested in the library.', 'We should put this test in test websocket api.py', ""The library client should use this auth instance. It looks unused now. We just instantiate it but then don't use it. When the library client wants to get an access token to use, ie before every request, it should use async get access token defined in this class. The library doesn't seem to have been updated to allow this. I recommend reading our library guide on how to structure the library and client: I've reworked the library according to the documentation. I actually like this approach. Everything works fine now except of the websocket connection. It's not possible to establish it and I don't get an error. I've tried very long, but wasn't able to get it working. Could you have a look at the library, please? L371 I don't think you should make a loop when connecting the websocket. Just have a connect method that connects the websocket and stores a reference to it on the client. L148-L160 Then have another method listen that fetches incoming messages and iterates over them and handles them. It's this method that the library user should create a background task for. L374 The benefit of separating the connect and listen methods is that we can make sure we can connect the websocket with a timeout before we create the task that should listen for websocket messages. If we can connect the websocket the chances are high that the websocket communication will work. If we fail to connect during the timeout, we want to raise ConfigEntryNotReady and try again later automatically. Side notes: 1. It looks like there's a double call to update data callbacks: L380-381 L342 2. I'd remove the schedule immediately parameter. The library user can call the callback themselves if needed. L74 If we create a connect method in the library for the websocket, there should also be a disconnect method for the websocket. There is now a close method""]"
62,66,62_locking_lock_locks_unlocking,"['locking', 'lock', 'locks', 'unlocking', 'locked', 'unlock', 'latch', 'unlocked', 'secure', 'door']","['You could simplify the adding of entities with a comprehension: There will be another lock sensor in the near future. So maybe it gets too complicated to read with different classes? What do you mean by ""lock sensor?"" If there are going to be different lock entity classes used, this is still valuable in that case, you should have something else (a dict, a method, etc.) to look up the correct class based on incoming data. Can you please explain, what i have done there? The sensor is called HmIP-DLS and is just a sensor on the state of the lock. It has lockStates, but no motor to change them. I am not yet sure in which device class platform i gonna put that device. I think putting it in lock platform could be the wrong place. Maybe sensor platform. You can\'t alter the lock state? You\'ve implemented those methods: L69-L75 What does, say, await self. device.set lock state(LockState.LOCKED) actually do? You asked me, what other lock entity class i gonna implement. I told you. The lock device, which this PR is about, could open the door. So everything okay.', 'Why is this a template instead of a fixed string? Can you give some example of where it\'s useful to dynamically change the code format? This seemed to be the most straightforward way to support ""require no code at all to lock, but a certain code to unlock"". Or a well-known short code to lock, but a long (possibly dynamic) one to unlock. From a system design perspective, if so desired it is always possible to go to a ""secure"" state (locked) and you need knowledge to go to an ""insecure"" (unlocked) state. Or have it the other way around if the meaning of ""secure"" and ""insecure"" is swapped in a user\'s context. This works neatly with the frontend without introducing new attributes like [Template Alarm\'s code arm required]( code arm required). OK I see. That makes the PR work around limitations in the lock entity IMHO, something which is not wanted. Please replace the code format template with a fixed code format and hit the ""Ready for review""-button when done. Naturally, I beg to differ I think this makes template locks quite versatile in their application. What is the actual issue here? There are other examples where the current code format for a lock is computed on the fly inside the method, for instance in the implementation of matter locks: L43-L60 Here the return value, at least without forward tracing the code, could change during operation, which is exactly what can happen with a template for lock code formats as well. My conclusion is that there is no actual limitation in the lock entity and thus code formats can be dynamic without any issues. Can you elaborate? (Marking this PR as Ready for review again in order to make this comment visible) Right, the matter implementation computes the code format, but it seems clear from the code the intention is to do so based on properties of the remote lock device, not based on the state of the lock. Is the main driver of your PR to implement support for dynamic code formats? The long story is that I basically wanted to a) virtually secure certain switches complex setups and b) have something similar to a switch that properly supports in-between-states. Meaning something complex is turned on (which I don\'t want to happen by accident and not necessarily by anyone walking through our hallway), and while this is turning on, which can take quite some time, the UI controls display an intermediate state (like the lock that is ""unlocking"" and then is ""unlocked""). The opposite is not true, so while I whish the turning on to be secured, turning off can happen anytime without securing it. That drove me to template locks, which currently don\'t support codes at all, and to make this available and ""templateable."" As far as I see it, the main question is: does any existing code rely on the (undocumented, AFAIK) fact that a code format property of a lock never changes? I guess the answer is no, because there are places where this can obviously occur, Matter being one example. If no one relies on constant code format, why not make it optionally dynamic for template locks (that target advanced users only) as well? And the format can be based on anything, really, not only locks\' state. Another application I have in mind is a dynamic automatic parental control where one can use something while parents are at home, but need to enter a code if they are not. (All this applies to control surfaces that are accessible to anyone in the house). OK, I see, your use case is essentially about (ab)using lock entities for things which are not actually locks. I think what you want to do is covered here although there\'s no solution in that discussion. My personal opinion is that we should allow users to set a flag on any entity marking it as requiring confirmation, optionally with a PIN. Frontend and voice assistants should be aware of that flag and show a confirmation dialog verbally ask for confirmation. For this PR, I would suggest to remove the templating to get the base functionality - adding code format support to template locks - merged. A follow-up PR could extend the code format with templates, and we can continue this discussion in that PR. It\'s not more abuse than [using a light to control home theater volume]( theater-volume-control) . I always fancy the template-integration to be something special that exactly enables flexibility like this. It\'s kind of in its DNA. I am also on board with adding UI-security measures (UI also meaning interactions by voice assistants) to all interactable entities, also with custom messages as described in the linked frontend issue. However, there are three considerations with this idea and your proposed next steps for this PR (all IMO of course): 1. This property (pin required not required) needs to be templateable; user (or role) specific settings would be nice as I wouldn\'t bother myself to enter a PIN to enable A C, for instance, because I usually sometimes kind of tend to know what I do 2. The place where the check happens should be customizable. This means that I expect the actual check (after the requirement of a PIN Code has been determined) to be offloaded to something else to be able to also support changing rolling codes. Only supporting a static setting here would again severely limit flexibility. 3. Introducing a code format for template locks now would solve about half of my issues, but if later we come to the conclusion that it indeed should be templatable, it would either not fit to the template entities config convention ( template suffix) or it would create a second property and deprecate the old one and we\'d have to think about procedure when both are set and whatnot... You think a discussion on the discord would provide more insights into what others think about this whole ordeal? Would it even make a difference? The template light example is not good, that example should be for a templated number instead; maybe the example was added before we had template number. No matter that, and no matter the non-lock use case you have in mind, you\'ve convinced me that there\'s no reason to not allow templated code format , and I checked with a couple of other core developers who also agree. Can you please add negative tests which show what happens if the template has a syntax error or raises an error during rendering? Will the result be that we accept any code or no code at all or something else? Also, can you double confirm how frontend behaves when the code format attribute changes?', 'Add a check to verify the API was called to lock the lock']"
63,64,63_docstring_docstrings_docstr_doc,"['docstring', 'docstrings', 'docstr', 'doc', 'docblock', 'documenting', 'update', 'file', 'text', 'updated']","['Please update the docstring.', 'docstring', 'docstring']"
64,61,64_async_nonasync_asyncmock_hassasync,"['async', 'nonasync', 'asyncmock', 'hassasync', 'await', 'sync', 'erasync', 'callback', 'callbacks', 'delayed']","['There is nothing async here.', ""Can't this be async?"", 'Nothing async']"
65,60,65_deviceid_uuid_uuids_uniqueidrequirements,"['deviceid', 'uuid', 'uuids', 'uniqueidrequirements', 'deviceclass', 'radioid', 'devices', 'identifier', 'unique', 'device']","['Add here self. attr unique id device.unique id', ""What does this UDN look like? Are we sure its unique enough to meet the unique id requirements (I'm assuming it does because its being used elsewhere but the test doesn't show what the UDN will look like)? unique-id-requirements Ideally the test has a valid UDN diff-0ab1317eaff266adde985b400a178004e4d447a9c4adc2a653ae8c77b5c5c434R25 The UDN contains an UUID, for example: uuid:3dcc7100-f76c-11dd-87af-00226124ca30 Does uuid: need to be stripped from the string to match what get radio id() returns? Those 2 ids have sadly no relation to each other. So to summarize: - The UDN is a good unique id when discovered through SSDP - the radio-id is another good unique id, but can only be accessed after authenticating with the device. We can thus not use the radio-id as the sole unique id, because it would not allow us to differentiate two devices where we are not authenticated. - UDN and radio-id are not equal. So it's theoretically possible for a user to add the device twice: once via SSDP discovery, once via manual configuration. AFAIK, it is not possible for a config entry to have multiple unique id's? Otherwise we could also register the radio-id as a secondary unique id for SSDP discovered devices. We aren't allowed to have two different formats for unique ids for the same integration. Can the UDN be accessed with authentication as well? I triple checked if a new API call had been discovered in the past year, but sadly not. [The API does expose a UUID]( netremotesysinfodmruuid), but that one is different from the UDN returned in the context of the urn:schemas-frontier-silicon-com:undok:fsapi:1 SSDP. Wiresharking did show that that UUID is being passed in the context of the DLNA SSDP, but trying to use that will result in a very ugly brittle solution I'm afraid. Your other option is to call the api to get the radio id once its discovered via SSDP and set it. If they changed the default PIN and you can't obtain the unique id, and we don't know if we are going to present the user a flow for something that is already setup, the best option is to abort the flow as they can always set it up manually. To mitigate the cost of probing, we should abort if a config entry already exists for the host we are about to probe. OK, I've removed support for ssdp discovery of devices with nondefault PIN. The overhead of the ssdp-flow for existing devices is now 1 call to the device discovery URL to retrieve the webfsapi endpoint. This discovery file is small file ( 200 bytes):"", 'This is likely to break in the future since there is no guarentee that the mobile app will continue to use this convention. If we want to do something like this, we would need to add a published api (in another PR) to the mobile app integration to get the list of UUIDs instead so we could be sure it keeps working if the mobile app changes how it registers these in the future. I\'d pull this out of this PR for now since there are multiple new features in this PR which should be two (or more) PRs: 1. allow list for specific uuid 2. mobile app integration I\'m all for clean APIs, but is there someone willing to make a PR on mobile app and have it merged quickly? (I don\'t have the cycles) If not I suggest we keep this feature for the following reasons: - We\'d lose a good-enough fix for an ongoing problem (original issue is more than a year old) breaking functionality for many users while waiting potentially another year for the perfect fix. - We\'re not doing any crazy hacks with the internals of mobile app, just reading public entities, the risk of breaking is arguably tolerable - Even if it breaks in the future, the worst that can happen is to ignore beacons, which is exactly what happens now. So we\'d be keeping a currenlty broken system out of fear of having the exact same broken system in the future. Your call, let me know if you insist on droping this. I think bdraco is right for this specific part. We can also see translated of renamed entities that would mess with this specific ""magic"" feature. I would advise to just remove that part, the allow list is already a giant step forward and still relatively easy for end users to voluntary whitelist (allow) what they want, and finally be able to track nameless beacons. Personally, I would even remove the 40004 trick, even if it\'s already merged on mobile. I think this could cause privacy issues because this means that I can be tracked or inadvertently track other HA Mobile users when they are around my house. I am not saying this is something new, but it would become more obvious that new HA mobiles are automatically tracked. Honestly, the basic allow list is the perfect and simple solution. We just need that and documentation (web site in the sensor description) for the fact that BLE Transmitter ID needs to be manually added to HA to track the mobile app. bdraco : how do you want to proceed? Btw this PR was meant to replace the 40004 trick, but we could also combine the two if we want a no-config solution for companion users. (Concerning privacy, the real problem is the unique constant UUID, changing the minor doesn\'t make it more trackable.) Let\'s take out the mobile app async refresh companion uuids related code here and only do the allow list. Integration with mobile app can be added later if an api is merged to the mobile app. Done. Let me know if anything else is needed.']"
66,60,66_mqtt_mqttnotenabled_mqqt_mqtttemperaturecontrolentity,"['mqtt', 'mqttnotenabled', 'mqqt', 'mqtttemperaturecontrolentity', 'mqttcommandtemplate', 'mqttentity', 'inelsmqtt', 'zigbee2mqtt', 'pahomqtt', 'discoveryflowhandler']","['Do users need to have an MQTT broker setup to use this integration or do they otherwise need to know about MQTT? No, they need to log in with username and password on the ecovacs server (which is the mqtt broker and rest to mqtt converter). Only the bot speaks MQTT instead of XMPP (current integration, see comment above). Do you have a better name for it?', 'The individual component schemas change this to ""MQTT Alarm"" etc, with the intention it will take precedence. Suggest to add a new test helper help test default name in tests components mqtt test common.py call that test from each component\'s tests to verify the default name is the overridden one, and not MQTT Entity . This would be a cosmetic test though, not a functional one. Is that ok? In addition, i can remove the default value, in which case it would default to DOMAIN PLATFORM (ie. ""mqtt switch""). Oh, it does not use DOMAIN as the second part, for example alarm control panel would be just mqtt larm The way I imagine this could potentially break in the future is if the config is validated by the MQTTEntity using the MQTT ENTITY BASE SCHEMA . Hence the suggestion to add functional test help test default name(hass, mqtt mock, domain, config, expected name) which sets up an entity and tests that the default name is as expected. Edit: Maybe it\'s better to drop CONF NAME from the MQTT ENTITY BASE SCHEMA discussion r587307693 Yes, dropping CONF NAME , default naming is more sensible.', ""Why do we add this here if it's MQTT that needs it, not image itself?""]"
67,59,67_translations_device_translated_translation,"['translations', 'device', 'translated', 'translation', 'refers', 'english', 'class', 'classes', 'texts', 'greek']","['If there is a device class and no translation key or name it can take the device class translation, so if you remove translation key, it will work exactly as now, without creating more translation keys', 'Can use device class translations. So if there is no name or translation key set it will use the name of the device class', 'You could remove this one and the translation key for the device class translations']"
68,59,68_urls_urljoin_urllibparseurlencode_urlparse,"['urls', 'urljoin', 'urllibparseurlencode', 'urlparse', 'url', 'urlwith', 'assetsurl', '404s', 'deeplinked', 'encoded']","['If this is only supported to extract the URL, I think it should be url template instead', ""URLs should not be in translations, instead use a placeholder to set the URL. We do this for two reasons: 1. It prevents a URL from being translated accidentally. 2. If the URL changes, it doesn't result in the invalidation of all translations. frenck do you mind if I fix the existing url in line 6 as well or does this lead to unnecessary translation work?"", ""We should not construct URLs like this. Instead, use a library to handle that. For example, we have YARL available by default. With the context that this URL is not being fetched here, but rather is being passed to motionEye in JSON -- for motionEye to (significantly) string manipulate and then fetch: I need the query string to say URL unencoded, i.e. I need to permit raw [ {} ] characters in the result. YARL automatically encodes all query string parameters and I cannot find any way to work around that. I've very slightly modified this so I'm using urljoin rather than a naked string join, but you may still be unhappy with it. If you have an alternative library recommendation (or any other ideas), I am very happy to dig into this further. Sounds weird and all, as if this is an URL, this should be URL encoded. If motionEye can't handle that correctly; it should be reported and fixed. Constructing URLs manually like this, is IMHO something that should be avoided. That said, if there is no other way at this point Yeah. Personally, I think it's mostly okay, if we think about this not as a URL but a URL template . It's not being fetched here, and motionEye does string manipulation to this value anyway prior to fetching. From a motionEye server perspective I wouldn't expect a user to provide a URL encoded value in the UI for the webhook (esp when it will be doing string replacements on the raw value), so I think the same is reasonable for the API. Furthermore, depending on a change getting committed to motionEye itself is not practical IMO, as experience suggests that would take a very (very) long time :-(""]"
69,58,69_button_buttons_buttonentitydescription_2button,"['button', 'buttons', 'buttonentitydescription', '2button', 'buttonpy', 'click', 'pressed', 'press', 'entity', 'entities']","['This isn\'t needed, the bthome-ble package already handles this. Devices with one button event won\'t get a postfix (button) Devices with e.g. three button events will get a postfix, also the first ( button 1 , button 2 and button 3 ) if you have e.g. b"" x40 x3A x00"" , the package won\'t add a postfix -- device with one button, no postfix needed. if you have e.g. b"" x40 x3A x01 x3A x01 x3A x03"" , the package will add a postfix to all three buttons, including the first ( button 1 , button 2 and button 3 . if you have e.g. b"" x40 x3A x00 x3A x01 x3A x03"" , like in the test, the package will skip the first button ( 0x00 no event), and use postfix 2 and 3 for the 2nd and 3rd button ( button 2 and button 3 ). So, I don\'t see the need to add 1 to the postfix. Reference: Devices with multiple buttons are identified [here]( L465) The postfix is added [here]( L483), so, only for devices with multiple buttons, and also for the first button. I figured it was zero indexed.. adjusted in 58ecf7ac33b7acacd8275fa7d61877b441a7540a', 'This should be a button entity instead?', 'button']"
70,57,70_lambda_lambdas_multiline_multilines,"['lambda', 'lambdas', 'multiline', 'multilines', 'oneline', 'parentheses', 'parenthesis', 'parenthesize', 'line', 'paranethesis']","['Please wrap multiline lambdas into parentheses i have put it on one line, ok ?', 'Please avoid multiline lambdas', 'Please wrap multiline lambdas in parenthesis']"
71,56,71_init_initialisation_initializing_modify,"['init', 'initialisation', 'initializing', 'modify', 'overriding', 'mode', 'import', 'imports', 'autogenerated', 'removed']","['You can also move this above init', 'Should be done in init', ""Same here? No, this can't be in init either.""]"
72,56,72_homeassistanterror_homeassistantexceptiontemplateerror_homeassistanterrorfcommand_serviceerror,"['homeassistanterror', 'homeassistantexceptiontemplateerror', 'homeassistanterrorfcommand', 'serviceerror', 'servicevalidationerror', 'exceptionshomeassistanterror', 'valueerror', 'errors', 'reolinkerror', 'connecterror']","[""Here maybe we want to raise HomeAssistantError as it's an api call error and not a user error?"", 'Raise errors as HomeAssistantError', 'Please raise HomeAssistantError if a service call api call fails.']"
73,55,73_rebase_rebased_rebasing_changed,"['rebase', 'rebased', 'rebasing', 'changed', 'changes', 'fixed', 'modify', 'reverting', 'change', 'fix']","['I think this change is not needed - maybe a bad rebase? Yes, thanks. Fixed this.', 'Need to rebase. Some changes here are now in dev', 'My commit was lost in a rebase again.']"
74,55,74_ditto_agreed_agree_likewise,"['ditto', 'agreed', 'agree', 'likewise', 'thanks', '', '', '', '', '']","['Agreed.', 'Ditto', 'ditto']"
